UUID,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/28/21
20e99032-c794-4abf-949a-414518796cc9,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
af90e27a-d5bf-42aa-b1c0-34924d8ff5f8,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
1495ede7-1b39-4135-be47-a319175718cb,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
35712d9b-61a0-43c4-b281-a09cf3ab6d3c,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
7b7ab666-8307-4a9b-bf6d-d1d49ef8dae7,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
5bd8fcc6-a2cf-42ec-af41-7225b51b7f9c,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
dbd45899-3bba-4aa1-a662-6be093519065,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
f355083a-c6da-408d-9d9f-3b0c0bdd857d,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
d57254a4-c2b5-4b63-b5d3-cb54e9c20170,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
b4d5ea5f-4a8c-4d42-830e-4c4b9da976a7,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
c4021a77-2a84-4d2c-95cb-039021858503,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
d6f7ff6a-290c-4ebd-9b2a-2ac6aa6d1942,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
1e6c0443-56a6-45b2-aa0a-44d7caa0f32e,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
023db2b7-2ed4-4d33-9c9b-9801003a2bb3,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
f6f051fd-6506-4c6d-902e-5cfd5366a7a2,na,na,na,na,na,na,na,na,na,na,Not in Stock,Not in Stock
