UUID,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/28/21
52c5d4f1-e686-44ae-830f-bfa3ffbc4c41,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
10468c4d-8957-45cf-b254-b9fb4c5b1e54,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
1ddf6069-e0c9-45c7-98f8-35105f260691,na,na,na,na,na,na,na,na,na,na,Only 11 left in stock - order soon.,Only 11 left in stock - order soon.
9f99669a-6530-46f4-8e3c-ffa8454bcf57,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
bb80bf34-3379-4c11-a6d5-fd026d04a6d8,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
b147e1f5-69ba-4f42-ae93-f225a103d432,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
209b6528-b51d-41ae-a283-f7be620cb20f,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
f355083a-c6da-408d-9d9f-3b0c0bdd857d,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
5bd8fcc6-a2cf-42ec-af41-7225b51b7f9c,na,na,na,na,na,na,na,na,na,na,Only 8 left in stock - order soon.,Only 8 left in stock - order soon.
8917219f-0370-4b27-b94b-6c95579a0125,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
10b5190b-0735-49ac-bd91-5ca60b85f398,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
1495ede7-1b39-4135-be47-a319175718cb,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
35712d9b-61a0-43c4-b281-a09cf3ab6d3c,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
39cdd677-2d51-4e78-984a-2cdc6bb3c174,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
145f175e-cc45-4bed-9b48-f124d328e9ca,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
1a9fd169-8a5b-40c4-9f51-5b8868f34611,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
1e6c0443-56a6-45b2-aa0a-44d7caa0f32e,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
c4021a77-2a84-4d2c-95cb-039021858503,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
5ba4a1ce-8a4e-4774-9e8b-bf3aab34e811,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
d6f7ff6a-290c-4ebd-9b2a-2ac6aa6d1942,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
023db2b7-2ed4-4d33-9c9b-9801003a2bb3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
6255c2e3-3d5e-48a2-94de-1014be9657aa,na,na,na,na,na,na,na,na,na,na,Only 6 left in stock - order soon.,Only 6 left in stock - order soon.
b481058c-eebf-4abd-b77a-bfaeeec6b156,na,na,na,na,na,na,na,na,na,na,Only 9 left in stock - order soon.,Only 9 left in stock - order soon.
f0185fd4-6724-454f-9258-49a5253af00d,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
31956b7f-8691-454d-b809-2ce66ff91517,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
37274ea4-775b-43a8-bb3d-ac6eb936eb8b,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
4f972b5d-8ef6-4d8c-92e4-96e40336a6d2,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
23161394-e147-449b-a612-d61612b7544b,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
21eec95e-07c8-4ba7-b84a-29b3e8174e9c,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
7255c8cc-a596-40ec-b01b-bf126ceebb98,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
9b65022e-84f9-4a18-8bdc-9941a13e6967,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
5adf9830-24fb-4282-8a74-14cc057010c5,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
282fcfad-85ec-42c7-86be-ed3d24dd630c,na,na,na,na,na,na,na,na,na,na,Only 7 left in stock - order soon.,Only 7 left in stock - order soon.
c72de486-5c98-454e-8bed-55a3a54cc09b,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
