Product_Name,MicroCenter_SKU,BestBuy_SKU,GameStop_SKU,Adorama_SKU,BH_SKU,Amazon_SKU,UUID
MSI AMD Radeon RX 6600 XT Gaming X 8GB GDDR6 PCIe 4.0 Graphics Card,308312.0,6476227,,,MS6600XTGX8G,,b703f661-e23f-427a-ae90-410ed62bd81f
MSI NVIDIA GeForce RTX 3060 Ti Gaming X 8GB GDDR6 PCIe 4.0 Graphics Card,303883.0,6480291,242883,,MSG3060GX12,B09FVLSNZ2,03667498-5524-4721-bb1c-1c467c271f9f
Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming OC 12GB GDDR6 PCIe 4.0 Graphics Card,284331.0,6466561,,,GIGVN308G,B096J1VD14,588ffa0e-47f5-495b-a959-f17c0b417163
Gigabyte NVIDIA GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X PCIe 4.0 Graphics Card,287243.0,6467779,,,GIG3070IGOC8,B097G7RBSZ,b5b3b06d-73c4-44e8-9338-34ac8baecc77
EVGA NVIDIA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB GDDR6X PCIe 4.0 Graphics Card,283739.0,6467808,309408,EV12G53967KR,,B09622N253,31956b7f-8691-454d-b809-2ce66ff91517
MSI NVIDIA GeForce RTX 3070 Gaming Z Trio 8GB GDDR6 PCIe 4.0 Graphics Card,301291.0,6471285,,,MSG3070GZTL,,6729f417-e194-4eb4-a9ae-231a5e84e071
EVGA NVIDIA GeForce RTX 3060 XC Gaming 12GB GDDR6 PCIe 4.0 Graphics Card,240093.0,6454329,309405,EV12GP5357KR,,B08WM28PVH,f0185fd4-6724-454f-9258-49a5253af00d
MSI NVIDIA GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X PCIe 4.0 Graphics Card,298505.0,6480289,242877,,MSG308TGXT12,B0995S7548,32bb0177-f842-4f14-87ef-cd6bd351d3d6
MSI NVIDIA GeForce RTX 3060 Ventus 2x OC 12GB GDDR6 PCIe 4.0 Graphics Card,234849.0,6462173,,,MSG3060V2X12,,a1c7b51e-efb3-4a14-af8d-3c82e186f79e
EVGA NVIDIA GeForce RTX 3070 FTW3 Ultra Gaming 8GB GDDR6 PCIe 4.0 Graphics Card,291567.0,6477077,309403,EV8GP53767KL,,,ea45437e-d6ce-49f0-842b-d71d93efc066
MSI NVIDIA GeForce RTX 3070 Ti Gaming X Trio 8GB GDDR6X PCIe 4.0 Graphics Card,287011.0,6467497,,MSIG307TGXT8,MSR3070TGXT8,B09D17W92Y,912bd6d2-1ea6-4b86-a2cc-ff251730c362
Gigabyte GeForce RTX 3090 Gaming OC 24GB GDDR6X PCIe 4.0 Graphics Card,174151.0,6430623,,,GI3090GGO24G,B08HJRF2CN,2836b4aa-61e6-4244-aabc-a77c26dbb459
Gigabyte NVIDIA GeForce RTX 3070 AORUS Master OC 8GB GDDR6 PCIe 4.0 Graphics Card,303826.0,6479685,,,GIAGR3070M8,B09B2W2ZQ3,7255c8cc-a596-40ec-b01b-bf126ceebb98
MSI NVIDIA GeForce RTX 3060 Ventus 3X OC 12GB GDDR6 PCIe 4.0 Graphics Card,234856.0,6452940,,,MSG3060V3X12,,3ad9bff0-3d4b-450e-980b-9990950fbdc4
Gigabyte AMD Radeon RX 6800 XT Gaming OC 16GB GDDR6 PCIe 4.0 Graphics Card,213710.0,6453897,,,GIR5500XTGO4,B08PFX6PZ6,23161394-e147-449b-a612-d61612b7544b
Gigabyte NVIDIA GeForce RTX 3080 Ti AORUS XTREME OC 12GB GDDR6X PCIe 4.0 Graphics Card,299099.0,6468933,,,GIGVN308TAX,B083HZFK45,9b65022e-84f9-4a18-8bdc-9941a13e6967
Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming Pro LHC OC 8GB GDDR6 PCIe 4.0 Graphics Card,298141.0,6479688,,,GIGFN3060G,,27d93e37-08b2-495f-85eb-c8babe13b090
Gigabyte AMD Radeon RX 6600 XT Gaming Pro OC 8GB GDDR6 PCIe 4.0 Graphics Card,311910.0,6475148,,,AMRPVII,B09BWZH46V,8c7e5f3b-48a6-48ce-998d-a33bca7818a3
EVGA NVIDIA GeForce RTX 3060 Ti FTW3 Ultra Gaming 8GB GDDR6 PCIe 4.0 Graphics Card,297275.0,6479524,252772,EV8GP53667,,,554f3b2f-9a7f-41cc-b09b-072ef18a33b4
Gigabyte NVIDIA GeForce GT 1030 Low Profile D4 2GB GDDR4 PCIe 3.0 Graphics Card,283358.0,6468926,,,GIGT1030LD42,,850f9629-cdbe-4a8f-9546-b3ca96e0a8db
ASUS NVIDIA GeForce RTX 3060 ROG Strix V2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,295022.0,6475224,294751,AS9YVGC2M0AA,ASRSR3060O2G,B08WGTL4CW,1495ede7-1b39-4135-be47-a319175718cb
Gigabyte AMD Radeon RX 6700 XT Eagle 12GB GDDR6 PCIe 4.0 Graphics Card,255380.0,6457994,,,GIR67XTEAG12,,e45b79af-9843-4ead-bce9-da4de71fa8e8
Gigabyte AMD Radeon RX 6600 XT Eagle OC 8GB GDDR6 PCIe 4.0 Graphics Card,311902.0,6475154,,,,,01af5d8f-52de-43a1-8d48-59b398526e60
MSI NVIDIA GeForce RTX 3070 Ti Ventus 3X OC 8GB GDDR6X PCIe 4.0 Graphics Card,287029.0,6467500,,MSIG37TV3X8C,,,c2e10fbf-4ffa-437c-b9df-ec20df0f719d
MSI GeForce RTX 3090 Ventus 3X OC 24GB GDDR6X PCIe 4.0 Graphics Card,172999.0,6472646,,,,B09CHC18N9,fb33da53-3f31-46b9-9bc8-b9515db72056
ASUS NVIDIA GeForce RTX 3060 Ti TUF Gaming V2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,295030.0,6475223,284701,,ASTR3060TO2G,,4c601129-2cc8-47ba-93bb-1ebb6c1cebd9
Gigabyte NVIDIA GeForce RTX 3060 Gaming Rev 2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,287714.0,6468910,,,,B0971BG25M,011cfa4c-cddc-4468-a4fd-77803e5af8a9
Gigabyte AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 PCIe 4.0 Graphics Card,255364.0,6457993,,,GIR67XTGOC12,,715e8a2f-163e-4beb-9b84-136a14d721ce
Gigabyte NVIDIA GeForce RTX 3090 VISION OC 24GB GDDR6X PCIe 4.0 Graphics Card,210864.0,6445108,,,GIGR3090VO24,B083GS45CR,59c281cf-2402-43a3-8171-b427ee5d73d5
Gigabyte NVIDIA GeForce RTX 3080 AORUS Master OC 10GB GDDR6X PCIe 4.0 Graphics Card,298620.0,6471954,,,,,fc3ab0c0-c047-467e-a8f9-265037285af8
MSI NVIDIA GeForce RTX 3080 Ventus OC 10GB GDDR6X PCIe 4.0 Graphics Card,306407.0,6471287,,,,,6e25a6bc-42cc-4abc-a0b5-4bc2ee4f6342
ASUS GeForce RTX 3090 TUF Gaming OC 24GB GDDR6X PCIe 4.0 Graphics Card,173120.0,6432446,,AST3090O24G,ASTR3090O24G,B08HJGNJ81,023db2b7-2ed4-4d33-9c9b-9801003a2bb3
Gigabyte NVIDIA GeForce RTX 3080 Ti AORUS Master OC 12GB GDDR6X PCIe 4.0 Graphics Card,299115.0,6468932,,,GIGVN308TAM,,24b3e46c-7576-4517-ad92-3c90707e8c4b
ASUS GeForce RTX 3090 Strix OC 24GB GDDR6X PCIe 4.0 Graphics Card,177071.0,6432447,,,ASR3090O24GG,,72ea6e4b-8c7a-4927-af47-6ea3e9a58af6
ASUS GeForce GTX 1660 Super TUF OC 6GB GDDR6 PCIe 3.0 Graphics Card,55160.0,6405063,,,ASDG166SO6GE,,191e02e0-d00d-48b4-8190-aecfcc220639
Gigabyte AMD Radeon RX 6900 XT Gaming OC 16GB GDDR6 PCIe 4.0 Graphics Card,276071.0,6453896,,,,B08R6M3JPS,9f99669a-6530-46f4-8e3c-ffa8454bcf57
MSI GeForce RTX 3090 Gaming X Trio 24GB GDDR6X PCIe 4.0 Graphics Card,173005.0,6468863,242870,MSIG390GXT24,MSG3090GXT24,B097YZFT5K,452d2196-6dd2-4503-b4fd-bfa5c7a07e43
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 Gaming OC 10GB GDDR6X PCIe 4.0 Graphics Card,307330.0,6432445,234466,ASRX3080O10G,ASRSR3080OW2,,7b7ab666-8307-4a9b-bf6d-d1d49ef8dae7
Gigabyte NVIDIA GeForce RTX 3070 Ti AORUS Master OC 8GB GDDR6X PCIe 4.0 Graphics Card,287250.0,6467788,,,GIG3070IAM8,,3032c504-14b9-4fee-8863-900a557fd47a
EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X PCIe 4.0 Graphics Card,173047.0,6432400,,EV10G53881KR,,B09CLX9JB9,b481058c-eebf-4abd-b77a-bfaeeec6b156
MSI AMD Radeon RX 6800 XT GAMING X TRIO OC 16GB GDDR6 PCIe 4.0 Graphics Card,220525.0,6442077,,MSIR6800GX16,MSR6800XTGXT,,540985dc-9b9b-4fad-8f25-90d66b612fdb
MSI NVIDIA GeForce RTX 3060 Ti VENTUS 2X OC 8GB GDDR6 PCIe 4.0 Graphics Card,297143.0,6441172,,,,,61e89ebc-79cc-4de2-b4bc-037fe81d3410
MSI GeForce GTX 1660 Super Gaming X OC PCIe 3.0 Graphics Card,42028.0,6389333,,,,,34bb230c-5afe-4c01-935d-2b41ec8b024f
Gigabyte GeForce RTX 3090 Eagle OC 24GB GDDR6X PCIe 4.0 Graphics Card,174128.0,6430624,,,,,314fee2b-df3a-4075-b484-72930f0ab653
Gigabyte AMD Radeon RX 6900 XT AORUS Master OC 16GB GDDR6 PCIe 4.0 Graphics Card,278903.0,6453894,,,,B083HZ3M1X,282fcfad-85ec-42c7-86be-ed3d24dd630c
MSI AMD Radeon RX 6900 XT Gaming X Trio 16GB GDDR6 PCIe 4.0 Graphics Card,239541.0,6444358,,,MSR6900XTGXT,B096M7NPNP,9332c98d-cead-4eff-87fc-7a19fb0ee11e
Gigabyte GeForce RTX 3070 Gaming OC 8GB GDDR6 PCIe 4.0 Graphics Card,194647.0,6437909,,,GIR3070GOC8,B09G998SNG,e900d109-de07-4a60-8ce1-6555a96653e5
Gigabyte NVIDIA GeForce RTX 3080 Ti Eagle OC 12GB GDDR6X PCIe 4.0 Graphics Card,307306.0,6430621,,,GIGVN308EOC,,08d0c615-c420-4985-9c51-94fe4a313813
MSI NVIDIA GeForce RTX 3060 Gaming X OC 12GB GDDR6 PCIe 4.0 Graphics Card,234864.0,6476229,314689,MSIG3060GX12,,B09GZHNKBP,3cb44b35-5377-4344-b7cd-fc2fbcc13fc7
MSI NVIDIA GeForce RTX 3070 Ventus 2X OC 8GB GDDR6 PCIe 4.0 Graphics Card,311027.0,6462266,,,,,c8fd117f-2a20-4c9d-a569-49df2145a5e8
MSI GeForce RTX 3070 Gaming X Trio 8GB GDDR6 PCIe 4.0 Graphics Card,193243.0,6438279,242881,,MSGR3070GXT,B097MYTZMW,e05ecefd-1cd4-4235-be7f-bc97c6de1998
MSI GeForce GTX 1660 Ti Gaming X OC 6GB GDDR6 PCIe 3.0 Graphics Card,897272.0,6330461,314676,,,,9e1e2570-6ac7-46f7-8217-e0fa1b3b8785
MSI AMD Radeon RX 6800 GAMING X TRIO OC 16GB GDDR6 PCIe 4.0 Graphics Card,220517.0,6447182,,,,,c27c07f7-f22a-44d0-a784-f871b875a221
MSI AMD Radeon RX 6700 XT MECH 2X OC 12GB GDDR6 PCIe 4.0 Graphics Card,250027.0,6457632,,,,,39065793-2e17-40c3-bdb6-6ceeec89cde6
Gigabyte AMD Radeon RX 6600 XT Gaming OC 8GB GDDR6 PCIe 4.0 Graphics Card,311894.0,6475153,,,,,1e8cbf51-64ff-4cb7-9283-4a6a683757fd
ASUS NVIDIA GeForce RTX 3060 TUF Gaming V2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,294991.0,6460665,,AS90YV0GC0M0,AST3060O122G,B0985VND1G,5ba4a1ce-8a4e-4774-9e8b-bf3aab34e811
EVGA NVIDIA GeForce RTX 3060 Ti XC Gaming 8GB GDDR6 PCIe 4.0 Graphics Card,291583.0,6444444,,EV8GP53663KL,,,4b491804-8ee3-4f73-adc7-5c610400df8d
Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming Rev 2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,309930.0,6442484,,,GIR3060TGOP8,,adbff5a6-a437-4e9f-aa99-d50df22f7ee2
MSI GeForce RTX 3070 Ventus 2X OC 8GB GDDR6 PCIe 4.0 Graphics Card,193268.0,6438278,,,,,4d629223-ffc8-4d35-90e7-ba84f5f872cf
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 Gaming OC 10GB GDDR6X PCIe 4.0 Graphics Card,307348.0,6475238,,ASRX3080O10G,,,122973be-4b69-4670-94b7-e97520b5ce38
MSI AMD Radeon RX 6700 XT MECH 2X 12GB GDDR6 PCIe 4.0 Graphics Card,250035.0,6456926,,,,,898ff394-3258-4f33-9a92-b4e0dd69ac6f
MSI NVIDIA GeForce RTX 3080 Ti Ventus 3X OC 12GB GDDR6X PCIe 4.0 Graphics Card,283721.0,6472637,,,MSG308TV3X12,,5642fb25-f2f0-4d24-87ab-663c642f496f
PNY XLR8 Gaming Single Fan NVIDIA GeForce GTX 1660 SUPER Overclocked Edition 6GB GDDR6 PCIe 3.0 Graphics Card ,,6407309,263328,,PNG16606GO,,67be3cf5-c2d2-464f-8840-bb6e07c80ac9
NVIDIA GeForce Founder Edition RTX 3060 Ti 8GB GDDR6 PCIe 4.0 Graphics Card ,,6439402,,,,,efe34dde-be68-4963-a6d0-a3f2c1cc2198
XFX SPEEDSTER QICK308 AMD Radeon RX 6600 XT 8GB GDDR6 PCIe 4.0 Gaming Graphics Card ,,6478369,,,XFRX66XT8LBD,,c0f3a286-401e-4678-938c-8b1842fc0741
NVIDIA GeForce Founder Edition RTX 3080 10GB GDDR6X PCIe 4.0 Graphics Card ,,6429440,,,,B095XZMSPB,10468c4d-8957-45cf-b254-b9fb4c5b1e54
NVIDIA GeForce Founder Edition RTX 3080 Ti 12GB GDDR6X PCIe 4.0 Graphics Card ,,6462956,,,,,a78ddfa3-7ea5-4b54-a1f9-e4ed27d2e26a
