Sku,Name,Price,Stock,URL,Review,Number_of_Reviews,Image_URL
ASROGRTX3080,ASUS GeForce RTX 3080 Ti Republic of Gamers Strix OC Graphics Card,"$1,999.99",Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1644572-REG/asus_rog_strix_rtx3080ti_o12g_gaming_geforce_rtx_3080_ti.html,5.0,1,./bh1_files/1622709977_1644572.jpg
GIN306TEO8R2,Gigabyte GeForce RTX 3060 Ti EAGLE OC (rev. 2.0) Graphics Card,$529.99,Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1661954-REG/gigabyte_gv_n306teagle_oc_8gd_rev2_0_geforce_rtx_3060_ti.html,5.0,4,./bh1_files/1636653922_1661954.jpg
ASR3060TO82G,ASUS GeForce RTX 3060 Ti Republic of Gamers Strix V2 OC Graphics Card,$669.99,Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1659201-REG/asus_rog_strix_rtx3060ti_o8g_v2_gaming_rog_strix_geforce_rtx.html,5.0,7,https://static.bhphoto.com/images/images345x345/1632142240_1659201.jpg
ASKR3060TO2G,ASUS GeForce RTX 3060 Ti KO V2 OC Edition Graphics Card,$609.99,Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1659198-REG/asus_ko_rtx3060ti_o8g_v2_gaming_ko_geforce_rtx_3060.html,5.0,1,https://static.bhphoto.com/images/images345x345/1635465940_1659198.jpg
AST3060O122G,ASUS GeForce RTX 3060 TUF GAMING V2 OC Graphics Card,$529.99,Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1648769-REG/asus_tuf_rtx3060_o12g_v2_gaming_tuf_gaming_geforce_rtx.html,5.0,3,https://static.bhphoto.com/images/images345x345/1632142240_1648769.jpg
XFRX66XT8LBD,XFX Radeon RX 6600 XT SPEEDSTER QICK 308 BLACK Gaming Graphics Card,$639.99,Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1657927-REG/xfx_rx_66xt8lbdq_radeon_rx_6600_xt.html,4.5,1,https://static.bhphoto.com/images/images345x345/1628678125_1657927.jpg
PNNRA5000,PNY Technologies RTX A5000 Graphics Card,"$2,599.00",In Stock,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1644219-REG/pny_technologies_vcnrtxa5000_pb_nvidia_rtx_a5000_graphics.html,5.0,1,https://static.bhphoto.com/images/images345x345/1625142981_1644219.jpg
XFRX6900XTCG,XFX Radeon RX 6900 XT Speedster SWFT 319 CORE Gaming Graphics Card,"$1,699.99",In Stock,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1662886-REG/xfx_rx_69xtaqfd9_amd_radeon_rx_6900xt.html,0.0,0,https://static.bhphoto.com/images/images345x345/1635932125_1662886.jpg
ASTR3090O24G,ASUS GeForce RTX 3090 TUF Gaming OC Graphics Card,"$2,219.99",Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1594385-REG/asus_tuf_rtx3090_o24g_gaming_tuf_gaming_rtx_3090.html,5.0,7,https://static.bhphoto.com/images/images345x345/1602856040_1594385.jpg
ASR3090O24GG,ASUS GeForce RTX 3090 Republic of Gamers Strix Gaming OC Graphics Card,"$2,229.99",Waiting List Only,https://www.bhphotovideo.comhttps://www.bhphotovideo.com/c/product/1601764-REG/asus_rog_strix_rtx3090_o24g_gaming_rog_strix_geforce_rtx.html,4.5,5,https://static.bhphoto.com/images/images345x345/1611858954_1601764.jpg
