Amazon_SKU,Name,price,rating,number_of_reviews,stock,url,UUID
B092C6MHMX,2021 Newst GeForce RTX 3070 Founders Edition Graphics Card 8GB GDDR6 PCI Express 4.0 Graphics Card - Dark Platinum and Black+ AllyFlex HDMI ,1584.0,4.6,11,Only 1 left in stock - order soon.,https://www.amazon.com/GeForce-3070-Founders-Graphics-Express/dp/B092C6MHMX/ref=sr_1_17?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-17,52c5d4f1-e686-44ae-830f-bfa3ffbc4c41
B095XZMSPB,2021 Newst GeForce RTX 3080 Founders Edition / AllyFlex HDMI ,2899.0,2.3,5,Only 2 left in stock - order soon.,https://www.amazon.com/2021-Newst-GeForce-Founders-AllyFlex/dp/B095XZMSPB/ref=sr_1_14?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-14,10468c4d-8957-45cf-b254-b9fb4c5b1e54
B09G6KPHKN,"AMD Radeon RX 560 Graphics Card, 1275MHz, 4GB 128-Bit GDDR5 PCIe 3.0 x8, DP/HDMI/DVI-D, DirectX 12, AMD FreeSync/Eyefinity Technology, Computer GPU, Desktop Gaming Video Card, Support 4K ",249.99,4.0,1,Only 11 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A087924428EQ1HOUXBKUY&url=%2FRX-560-Graphics-Eyefinity-Technology%2Fdp%2FB09G6KPHKN%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634071441%26sr%3D8-21-spons%26psc%3D1&qualifier=1634071441&id=6733095109387229&widgetName=sp_btf,1ddf6069-e0c9-45c7-98f8-35105f260691
B08R6M3JPS,AMD Radeon RX 6900 XT ,Not available,3.3,6,out of stock,https://www.amazon.com/AMD-Radeon-RX-6900-XT/dp/B08R6M3JPS/ref=sr_1_18?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-18,9f99669a-6530-46f4-8e3c-ffa8454bcf57
B083GT6Q25,"AORUS Radeon RX 6800 XT Master 16G Graphics Card, MAX-Covered Cooling, 16GB 256-bit GDDR6, GV-R68XTAORUS M-16GD Video Card ",Not available,5.0,4,out of stock,https://www.amazon.com/Beautiful-African-Anti-Skid-Bedroom-Kitchen/dp/B083GT6Q25/ref=sr_1_10?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-10,bb80bf34-3379-4c11-a6d5-fd026d04a6d8
B093NBMV17,ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A069995726V30QZ7F3H8D&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634071441%26sr%3D8-11-spons%26psc%3D1&qualifier=1634071441&id=6733095109387229&widgetName=sp_mtf,b147e1f5-69ba-4f42-ae93-f225a103d432
B093NBMV17,ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/ASRock-Phantom-Graphics-Polychrome-DisplayPort/dp/B093NBMV17/ref=sr_1_12?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-12,b147e1f5-69ba-4f42-ae93-f225a103d432
B093NBMV17,ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01968767QFB4R224PK3&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634071439%26sr%3D8-1-spons%26psc%3D1&qualifier=1634071439&id=6294498324723023&widgetName=sp_atf,b147e1f5-69ba-4f42-ae93-f225a103d432
B09H3QSGYX,ASUS Dual GeForce RTX 3070 Non-LHR Graphics Card 8GB GDDR6 PCI Express 4.0 Ampere Streaming Multiprocessors 2X HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable - OEM Package (Renewed) ,1614.99,0.0,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06439102F0U6WO7INTUS&url=%2FGraphics-Streaming-Multiprocessors-DisplayPort-Mytrix_HDMI%2Fdp%2FB09H3QSGYX%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634071435%26sr%3D8-11-spons%26psc%3D1&qualifier=1634071435&id=3792059594690349&widgetName=sp_mtf,209b6528-b51d-41ae-a283-f7be620cb20f
B08YWZHJDZ,"ASUS ROG Strix AMD Radeon RX 6700 XT OC Edition Gaming Graphics Card AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II ",1249.99,4.6,32,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B08YWZHJDZ/ref=sr_1_20?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-20,f355083a-c6da-408d-9d9f-3b0c0bdd857d
