GameStop_SKU,Product_Price,Product_link,Product_Stock,Review,Number_of_Reviews,Product_Image,UUID
264493,749.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/asus-geforce-rtx-3070-dual-fan-8gb-gddr6-gaming-graphics-card/11135062.html?condition=New,Out of Stock,5,3,https://media.gamestop.com/i/gamestop/11135062/ASUS-GeForce-RTX-3070-Dual-Fan-8GB-GDDR6-Gaming-Graphics-Card?$pdp$,a6def6f3-ee36-4029-8b07-a72652435b6a
234466,1049.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/asus-geforce-rtx-3080-10-gb-gddr6x-strix-graphic-card/11112926.html?condition=New,Out of Stock,4.6,39,https://media.gamestop.com/i/gamestop/11112926/ASUS-GeForce-RTX-3080-10-GB-GDDR6X-Strix-Graphic-Card?$pdp$,7b7ab666-8307-4a9b-bf6d-d1d49ef8dae7
264495,849.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/asus-rtx-3070-directx-12-8g-graphics-card/11135063.html?condition=New,Out of Stock,4.5,11,https://media.gamestop.com/i/gamestop/11135063/ASUS-RTX-3070-DirectX-12-8G-Graphics-Card?$pdp$,39cdd677-2d51-4e78-984a-2cdc6bb3c174
284701,559.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/asus-tuf-gaming-geforce-rtx-3060-oc-gaming-graphics-card/11138943.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11138943/ASUS-TUF-Gaming-GeForce-RTX-3060-OC-Gaming-Graphics-Card?$pdp$,4c601129-2cc8-47ba-93bb-1ebb6c1cebd9
304747,799.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3070-ti-ftw3-ultra-8gb-gddr6x-graphic-card/11153798.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11153798/EVGA-GeForce-RTX-3070-Ti-FTW3-ULTRA-8GB-GDDR6X-Graphics-Card?$pdp$,5d7d7b26-d49e-455f-b94f-178b5511f76d
304749,1399.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3080-ti-12gb-gddr6x-graphics-card/11153799.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11153799/EVGA-GeForce-RTX-3080-Ti-12GB-GDDR6X-Graphics-Card?$pdp$,28272f83-405c-461f-b7e9-fa74b7ffd395
263325,145.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-gt1030-pci-e-3.0-2-gb-graphics-card/11134952.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11134952/PNY-GeForce-GT1030-PCI-E-3.0-2-GB-Graphics-Card?$pdp$,76924df4-bee9-443d-85f9-c4b8e4da4525
242883,689.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3060-8-gb-gddr6-ti-gaming-x-trio-graphic-card/11118702.html?condition=New,Out of Stock,5,1,https://media.gamestop.com/i/gamestop/11118702/MSI-GeForce-RTX-3060-8-GB-GDDR6-Ti-Gaming-X-Trio-Graphic-Card?$pdp$,03667498-5524-4721-bb1c-1c467c271f9f
252772,529.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3060-ti-ftw3-ultra-gaming-graphics-card/11121603.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11121603/EVGA-GeForce-RTX-3060-TI-FTW3-Ultra-Gaming-Graphics-Card?$pdp$,554f3b2f-9a7f-41cc-b09b-072ef18a33b4
309405,368.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3060-xc-gaming-graphics-card/11121604.html?condition=Pre-Owned,Out of Stock,4.5,2,https://media.gamestop.com/i/gamestop/11121604/EVGA-GeForce-RTX-3060-XC-Gaming-Graphics-Card?$pdp$,f0185fd4-6724-454f-9258-49a5253af00d
