MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link,UUID,Product_Image
849.99,295618,VG-RX6700XT CLD,https://www.microcenter.com/product/639278/asrock-amd-radeon-rx-6700-xt-challenger-d-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card,3e7add53-1334-4883-a0b4-a9914f56cda6,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639278_295618_01_front_thumbnail.jpg
1999.99,282228,VG-RX6900XT OCF,https://www.microcenter.com/product/638047/asrock-amd-radeon-rx-6900-xt-formula-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card,b147e1f5-69ba-4f42-ae93-f225a103d432,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638047_282228_01_front_thumbnail.jpg
499.99,308361,DUALRX6600XTO8G,https://www.microcenter.com/product/640335/asus-amd-radeon-rx-6600-xt-dual-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,1a0d55b2-75a1-4bbe-aa95-91024d0b7ac5,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640335_308361_01_front_thumbnail.jpg
929.99,249276,STXRX6700XTO12G,https://www.microcenter.com/product/635167/asus-amd-radeon-rx-6700-xt-rog-strix-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card,f355083a-c6da-408d-9d9f-3b0c0bdd857d,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/635167_249276_01_front_thumbnail.jpg
899.99,248781,TUFRX6700XTO12G,https://www.microcenter.com/product/635168/asus-amd-radeon-rx-6700-xt-tuf-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card,87643409-9f6a-4bb4-8b6c-6bbe6ecdbb77,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/635168_248781_01_front_thumbnail.jpg
2499.99,291849,STXLC6900XTT16G,https://www.microcenter.com/product/638377/asus-amd-radeon-rx-6900-xt-rog-strix-lc-overclocked-hybrid-cooled-16gb-gddr6-pcie-40-graphics-card,10b5190b-0735-49ac-bd91-5ca60b85f398,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638377_291849_01_front_thumbnail.jpg
1599.99,217331,TUFRX6900XTO16G,https://www.microcenter.com/product/632292/asus-amd-radeon-rx-6900-xt-tuf-gaming-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card,1a9fd169-8a5b-40c4-9f51-5b8868f34611,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/632292_217331_01_front_thumbnail.jpg
89.99,329623,GT1030-2G-CSM,https://www.microcenter.com/product/479898/asus-geforce-gt-1030-passive-2gb-gddr5-pcie-graphics-card,4a99d028-dc24-4818-bfe0-67ee68c8ece7,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/479898_329623_01_front_thumbnail.jpg
109.99,344911,PH-GT1030-O2G,https://www.microcenter.com/product/480789/asus-geforce-gt-1030-phoenix-overclocked-single-fan-2gb-gddr5-pcie-30-graphics-card,c5afcf0a-1414-4b3b-ac5f-164918ad2d92,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/480789_344911_01_front_thumbnail.jpg
49.99,388249,90YV0AL2-M0NA00,https://www.microcenter.com/product/484122/asus-geforce-gt-710-low-profile-passive-1gb-gddr5-pcie-20-graphics-card,b746e195-5eea-41ed-a2cd-aa7cd4c0197c,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/484122_388249_01_front_thumbnail.jpg
59.99,360297,90YV0AL4-M0NA00,https://www.microcenter.com/product/481747/asus-geforce-gt-710-low-profile-passive-2gb-gddr5-pcie-graphics-card,8edeea46-043c-440e-a51b-fa2360034639,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/481747_360297_01_front_thumbnail.jpg
74.99,154088,GT710-4HSL-2GD5,https://www.microcenter.com/product/626703/asus-geforce-gt-710-passive-cooled-2gb-gddr5-pcie-20-graphics-card,1f8b299b-8864-4a7d-a478-56f0a5a160d5,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626703_154088_01_front_thumbnail.jpg
249.99,57810,TUFGTX1650SO4GG,https://www.microcenter.com/product/617082/asus-geforce-gtx-1650-super-tuf-gaming-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card,80b811c2-bde4-4b3a-bc8c-ebdddfae17cf,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/617082_057810_01_front_thumbnail.jpg
219.99,167668,TGTX1650O4GD6PG,https://www.microcenter.com/product/627658/asus-geforce-gtx-1650-tuf-gaming-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card,393cdf8f-8e2a-4154-8ccc-4883b94a338b,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/627658_167668_01_front_thumbnail.jpg
349.99,71092,90YV0DW1-M0AA00,https://www.microcenter.com/product/617824/asus-geforce-gtx-1660-super-advance-rog-strix-overclocked-dual-fan-6gb-gddr6-pcie-30-graphics-card,9fcdc8b8-f618-4392-9afc-746fc40de119,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/617824_071092_01_front_thumbnail.jpg
