Sku,Price,Stock,Review,Number_of_Reviews
ASROGRTX3080,"$1,999.99",Waiting List Only,5.0,8
MS3060TGZT8L,$669.99,Waiting List Only,0.0,0
ASR3060TO82G,$649.99,Waiting List Only,0.0,0
ASTR3060TO2G,$619.99,Waiting List Only,5.0,2
ASDR3060TOG2,$579.99,Waiting List Only,5.0,4
XFRX66XT8LBD,$509.99,Waiting List Only,4.5,1
AST3060O122G,$529.99,Waiting List Only,5.0,2
ASTR68XTO16G,"$1,199.99",Waiting List Only,0.0,0
PNNRA4000,"$1,399.00",In Stock,4.5,3
MS6600XTGX8G,$579.99,Waiting List Only,0.0,0
MSR3070TGXT8,$929.99,Waiting List Only,4.0,1
ASDR2060O6GE,$469.99,Waiting List Only,5.0,6
GIR6600XGOP8,$499.99,Waiting List Only,0.0,0
ASPGTX1050T4,$199.99,Waiting List Only,5.0,1
MSG3070GZTL,$809.99,Waiting List Only,0.0,0
MSG308TV3X12,"$1,749.99",Waiting List Only,5.0,2
ASTUFRTX3080,"$1,949.99",Waiting List Only,5.0,2
PNNQP1000V24,$338.99,In Stock,0.0,0
GIG3070IGOC8,$869.99,Waiting List Only,3.5,3
MSGTX1050TI,$309.99,In Stock,5.0,1
ASGTX1650,$249.99,Waiting List Only,4.5,2
GIGVN308G,"$1,499.99",Waiting List Only,0.0,0
PNNQP620V22,$199.99,In Stock,4.0,1
XFRX6800QBK,"$1,099.99",Waiting List Only,0.0,0
PNQRTX4000PB,"$1,001.25",In Stock,5.0,5
GIN3080AX102,"$1,199.99",Waiting List Only,0.0,0
AMRPW6600,$699.99,Back-Ordered,5.0,3
AMRPW6800,"$2,199.00",In Stock,5.0,3
AMW5700,"$1,049.99",In Stock,5.0,1
ASTUFRTX3070,$979.00,Waiting List Only,5.0,6
PNG306012GC,$629.99,Waiting List Only,5.0,1
HE5JW82AT,$104.11,Special Order,0.0,0
ASDR3060O122,$469.99,Waiting List Only,0.0,0
XFR68XTACBD9,"$1,499.99",In Stock,5.0,3
GIGVN308V,"$1,549.99",Waiting List Only,0.0,0
GIGVN308TAX,"$1,669.99",Waiting List Only,0.0,0
MSN210MD1GD3,$54.99,In Stock,0.0,0
DIHD5450,$59.99,Special Order,4.0,6
XFRX6900XTCG,"$1,599.99",In Stock,0.0,0
AMWX2100X16,$249.00,In Stock,5.0,4
GIGR3090VO24,"$2,199.99",Waiting List Only,5.0,3
PNQRTX5000PB,"$2,499.00",In Stock,5.0,1
MSG165D6VXSC,$294.99,Waiting List Only,4.0,3
ASROGRTX3070,"$1,099.99",Waiting List Only,4.0,1
MSG308TGXT12,"$1,779.99",Waiting List Only,4.5,1
MSG103024PC,$114.99,More on the Way,4.0,1
PNVCNT400SB,$189.00,Special Order,0.0,0
HE2TF08AT,$212.62,Special Order,0.0,0
MAM9120F,$259.00,Special Order,4.5,2
AMRPROWX3200,$299.00,In Stock,5.0,3
ASRSR3080OW2,"$1,199.99",Waiting List Only,5.0,2
GI3090GGO24G,"$2,199.99",Waiting List Only,0.0,0
HE5JH81AT,"$2,683.25",In Stock,0.0,0
HE6YT68AT,$229.50,In Stock,0.0,0
HE5JV89AT,"$1,053.50",In Stock,4.0,2
MSG3090GXT24,"$2,279.99",Waiting List Only,5.0,1
PNNRA6000,"$6,999.00",In Stock,3.0,2
VI54502GB,$70.00,Special Order,5.0,1
HE1ME43AT,$109.00,Special Order,3.5,6
HE5JW82AA,$145.00,Special Order,0.0,0
HE35F73AA,$398.95,New Item - Coming Soon,0.0,0
LE4X60N86660,$401.65,Special Order,0.0,0
GIGFN3060G,$499.99,Waiting List Only,5.0,7
HE9GC16AT,$552.16,In Stock,0.0,0
MAM91481024,$599.00,Special Order,0.0,0
ASTFRX68O16G,"$1,049.99",Waiting List Only,5.0,1
SOGMP6900XT,"$1,799.99",Special Order,0.0,0
PNR3080T12RE,"$1,999.99",Waiting List Only,4.5,3
APMJ073AMA,"$2,800.00",New Item - Special Order,0.0,0
HE5JH80AT,"$3,999.00",Special Order,5.0,1
PNQRTX6000PB,"$4,699.99",In Stock,0.0,0
GIGGT7102,$49.99,More on the Way,0.0,0
VI54501GB,$59.99,Special Order,5.0,1
ZOZT7130220L,$59.99,More on the Way,5.0,2
ZOZT7130420L,$59.99,More on the Way,4.0,4
MSGT7101GD3H,$67.99,Back-Ordered,5.0,1
GIGT1030LP2,$84.49,More on the Way,5.0,2
AST10302GCSM,$89.99,More on the Way,4.5,1
ASPHGT1030O2,$99.99,More on the Way,5.0,5
MSG10302HPC,$99.99,New Item - Coming Soon,0.0,0
MSG10302PC,$99.99,New Item - Coming Soon,0.0,0
GIGT1030LD42,$109.99,More on the Way,5.0,1
ZOGT730ZONGC,$115.99,More on the Way,4.5,1
LE4X60N86657,$124.32,Special Order,5.0,2
PNGT10302,$129.99,More on the Way,4.0,1
LE4X60N86656,$133.87,Special Order,5.0,1
ZOGT1030GC,$139.99,More on the Way,4.5,6
PNNQP400V22,$144.99,More on the Way,3.5,2
HE3ME25AT,$150.93,More on the Way,5.0,1
GIGVN105TD54,$155.99,Waiting List Only,5.0,1
VIRHD7750GC,$159.80,Special Order,5.0,1
GIG1650O4R2G,$159.99,Waiting List Only,4.5,2
GIG1650D6WO4,$169.99,Waiting List Only,5.0,3
GIG1650SWO4,$169.99,Waiting List Only,4.5,1
GIG1650O4,$169.99,Waiting List Only,5.0,2
PNT400,$173.99,More on the Way,0.0,0
VIH54PVH4H,$179.99,Special Order,4.0,1
GI1656WF2O42,$179.99,Waiting List Only,0.0,0
VIRH55701GGC,$185.06,Special Order,4.0,1
GIR5500XTGO4,$189.99,Waiting List Only,3.0,2
HET8W13AT,$215.00,Special Order,0.0,0
MAG55MDDE32,$219.00,Special Order,0.0,0
GIRRX5808GR2,$219.99,Waiting List Only,5.0,4
PNG1650SSFO,$219.99,Waiting List Only,0.0,0
PNG16606GO,$219.99,Waiting List Only,0.0,0
ASPG1650O4G,$229.99,Waiting List Only,5.0,3
PNG1660SSF,$229.99,Waiting List Only,0.0,0
HEBM147UT,$239.95,Special Order,1.0,1
PNNQT600,$249.00,Back-Ordered,0.0,0
PNNT600,$249.00,More on the Way,0.0,0
LE4X60R60468,$249.99,In Stock,5.0,1
ASTUFGTX1650,$249.99,Waiting List Only,5.0,3
MSG1650D6VXO,$294.99,Waiting List Only,0.0,0
HE2TF08AA,$299.00,Special Order,0.0,0
MAM9120LA,$299.00,Special Order,4.5,2
ASPHG1660O6G,$299.99,Waiting List Only,5.0,3
HE1ME01AT,$315.02,In Stock,0.0,0
ASPGT166SO6G,$319.99,Waiting List Only,5.0,9
ASPGT166SO6G,$319.99,Waiting List Only,5.0,9
ASDG166SO6GE,$329.99,Waiting List Only,5.0,3
ASTUFGTX1660,$329.99,Waiting List Only,5.0,7
ZOZTT16510F1,$339.99,Waiting List Only,5.0,1
AMWX4100,$349.99,Back-Ordered,4.0,1
VIHD77505MGC,$366.99,Special Order,5.0,1
HE6YT67AT,$394.95,More on the Way,0.0,0
MAM91381024,$399.95,Special Order,0.0,0
LE4X60N86661,$401.65,Special Order,0.0,0
GIR57XTGO8G2,$419.99,Waiting List Only,5.0,1
HE6YT68AA,$428.95,Special Order,0.0,0
ZOT16600K10M,$439.99,More on the Way,5.0,8
ASRSR5600XTP,$449.99,Waiting List Only,5.0,8
ZOZTT16620F,$459.99,Waiting List Only,4.5,7
XFRX66XL8LFD,$459.99,More on the Way,0.0,0
GIGFN3060E,$459.99,Waiting List Only,0.0,0
ASPHR3060122,$469.99,Waiting List Only,0.0,0
ASPHRTX3060,$479.99,Waiting List Only,0.0,0
PNNQP2200,$489.99,More on the Way,5.0,5
PNR306012RES,$489.99,Waiting List Only,5.0,2
AMWW5500,$499.00,Back-Ordered,3.0,8
AMWX5100,$499.00,Back-Ordered,5.0,1
PNNQT1000,$499.00,New Item - Coming Soon,0.0,0
ASDLRX66008G,$499.99,More on the Way,0.0,0
PNR306012RED,$499.99,Waiting List Only,5.0,3
GIGFN3060V,$499.99,Waiting List Only,5.0,4
MSG3060V2X12,$504.99,Waiting List Only,0.0,0
MSG3060V3X12,$514.99,Waiting List Only,0.0,0
ZOA30600H,$519.99,Waiting List Only,5.0,1
GIGFN3060A,$519.99,Waiting List Only,5.0,3
ZOZTA30610E1,$529.99,Waiting List Only,5.0,1
MSG3060GX12,$534.99,Waiting List Only,5.0,9
MAM91400512,$539.95,Special Order,0.0,0
ASRSR3060O2G,$549.99,New Item - Coming Soon,0.0,0
MSG3060GXT12,$559.99,Waiting List Only,5.0,9
PNR3060T8GRE,$564.99,Waiting List Only,0.0,0
GIGF3060EOC,$579.99,Waiting List Only,4.0,1
PAFZVGT551W,$591.95,Special Order,0.0,0
GIG3070IE8,$599.99,Waiting List Only,0.0,0
APMXM52AMA,$600.00,Special Order,0.0,0
GIR3060TGOP8,$619.99,Waiting List Only,5.0,2
ZOGR3070TEGC,$619.99,Waiting List Only,4.5,5
PNGR3060T8,$621.99,Waiting List Only,0.0,0
ZOZTA30610H1,$629.99,Waiting List Only,5.0,5
MAC4204GB,$639.00,Special Order,0.0,0
PNCNRTXA2000,$649.99,Back-Ordered,0.0,0
PNGR30708GC,$699.99,Waiting List Only,3.0,2
PNGR3070EXGC,$699.99,Waiting List Only,5.0,7
ZOZTA30700H,$719.99,Waiting List Only,5.0,3
AMWX7100,$729.00,Back-Ordered,4.5,7
XFARR6700XQC,$729.99,More on the Way,0.0,0
GIR3070GOC8,$749.99,Waiting List Only,5.0,1
GIGR3070VO8,$779.99,Waiting List Only,5.0,1
AMFS400Q,$799.00,Special Order,5.0,1
HE1ME01AA,$799.00,Special Order,0.0,0
GIG3070IEOC8,$799.99,Waiting List Only,0.0,0
GIAGR3070M8,$799.99,Waiting List Only,4.5,1
ASDUALRX6700,$829.99,Waiting List Only,0.0,0
GIR67XTEAG12,$889.99,More on the Way,5.0,3
MSR6700XTGX,$899.99,More on the Way,5.0,1
ASTUFRX6700X,$899.99,More on the Way,4.5,5
GIG3070IVOC8,$899.99,Waiting List Only,0.0,0
XFR67XTYPBDP,$899.99,More on the Way,5.0,5
XFM319AR67XB,$949.99,Waiting List Only,5.0,2
ASROGRX6700X,$949.99,More on the Way,5.0,9
GIR67XTGOC12,$959.99,More on the Way,5.0,1
HEZ0B14AA,$975.00,Special Order,0.0,0
GIG3070IAM8,$979.99,Waiting List Only,0.0,0
HE6YT67AA,$998.95,Special Order,0.0,0
PNR3070T8RE,$999.99,Waiting List Only,0.0,0
APMW662AMA,"$1,000.00",Special Order,0.0,0
GIAR67XTE12,"$1,019.99",More on the Way,5.0,1
XFR68XLATBD9,"$1,029.99",Waiting List Only,5.0,3
GI3080GO10GD,"$1,079.99",Waiting List Only,5.0,2
ASRSRX68O16G,"$1,089.99",Waiting List Only,5.0,1
GIAGR3080X10,"$1,129.99",Waiting List Only,5.0,1
ASTGR3080V2O,"$1,149.99",Waiting List Only,5.0,3
GIR68GOC16GD,"$1,179.99",More on the Way,0.0,0
AMFS7000,"$1,218.50",Special Order,0.0,0
MSR6800GXT16,"$1,224.99",Waiting List Only,0.0,0
ASRLR68XO16G,"$1,329.99",Waiting List Only,3.5,4
MSR6800XTGXT,"$1,329.99",More on the Way,4.0,1
XFARR6800XTC,"$1,349.99",More on the Way,5.0,1
SMXP4RDS,"$1,379.95",Special Order,0.0,0
GIGVN308EOC,"$1,429.99",Waiting List Only,0.0,0
AMFV7350,"$1,542.50",Special Order,0.0,0
GIGVN308TAM,"$1,599.99",Waiting List Only,0.0,0
ASR6900XO16G,"$1,599.99",More on the Way,4.5,5
SMXP4XRD,"$1,623.95",Special Order,0.0,0
