Name,price,rating,number_of_reviews,stock,url
Halo Infinite Steelbook Edition - Xbox Series X & Xbox One ,Not available,no ratings,no reviews,out of stock,https://www.amazon.com/Halo-Infinite-Steelbook-Xbox-One-X/dp/B09FC3BN36/ref=sr_1_1?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-1
Xbox Series X ,845.99,4.2 out of 5 stars,50,Only 1 left in stock - order soon.,https://www.amazon.com/Xbox-X/dp/B08TVX3DVN/ref=sr_1_2?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-2
NBA 2K22 - Xbox Series X ,68.08,4.5 out of 5 stars,17,out of stock,https://www.amazon.com/NBA-2K22-Xbox-X/dp/B098Y7HQ9T/ref=sr_1_3?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-3
Xbox Series X ,Not available,4.9 out of 5 stars,"10,216",out of stock,https://www.amazon.com/Xbox-X/dp/B08H75RTZ8/ref=sr_1_4?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-4
Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR1000400) ,219.99,4.8 out of 5 stars,"48,306",out of stock,https://www.amazon.com/Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_5?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-5
"Microsoft Xbox Series X 1TB - Backward Compatible with Thousands of Games, The Fast, Ultra High Speed HDMI Cable, Fine-Tuned Performance, True 4K Gaming - U Deal HDMI ",Not available,1.0 out of 5 stars,1,out of stock,https://www.amazon.com/Microsoft-Xbox-1TB-Compatible-Performance/dp/B09GRGDSLJ/ref=sr_1_6?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-6
Xbox Series S - 512GB SSD Console with Wireless Controller - EU Version with US Power Cable ,394.99,4.7 out of 5 stars,"3,942",Only 3 left in stock - order soon.,https://www.amazon.com/Xbox-Console-Wireless-Controller-Version-S/dp/B087VM5XC6/ref=sr_1_7?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-7
Xbox Series S ,Not available,4.7 out of 5 stars,"7,175",out of stock,https://www.amazon.com/Xbox-S/dp/B08G9J44ZN/ref=sr_1_8?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-8
Marvel’s Guardians of the Galaxy - Xbox Series X ,59.99,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06336281IUX0SXA7RBE7&url=%2FMarvels-Guardians-Galaxy-Xbox-X%2Fdp%2FB096WVGQMJ%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-9-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_mtf
"Microsoft Xbox One X 1TB Console with Wireless Controller: Xbox One X Enhanced, HDR, Native 4K, Ultra HD (Renewed) (2017 Model) ",479.99,4.5 out of 5 stars,"3,229",Only 4 left in stock - order soon.,https://www.amazon.com/Microsoft-Xbox-One-Console-Wireless-Controller/dp/B07WDGB9P5/ref=sr_1_10?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-10
"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One, and Windows 10 Devices ",59.0,4.7 out of 5 stars,"49,603",out of stock,https://www.amazon.com/Xbox-Wireless-Controller-Electric-Windows-Devices/dp/B08ZNQN1FP/ref=sr_1_11?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-11
Elite Series 2 Controller - Black ,147.99,4.4 out of 5 stars,"22,427",out of stock,https://www.amazon.com/Elite-2-Controller-Black-Xbox-One/dp/B07SFKTLZM/ref=sr_1_12?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-12
Venom Multi-Colour LED Light-up Console Stand (Xbox Series X) (Xbox Series X) ,24.24,3.7 out of 5 stars,28,out of stock,https://www.amazon.com/Venom-Multi-Colour-Light-up-Console-Stand-Xbox/dp/B08Z5BSJRT/ref=sr_1_13?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-13
"Far Cry 6 Xbox Series X S, Xbox One Standard Edition ",59.99,3.7 out of 5 stars,16,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0784704163TQTZHG1DOD&url=%2FFar-Cry-6-Xbox-One%2Fdp%2FB08CKL9K4Z%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-14-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_mtf
"Vertical Cooling Stand Compatible with Xbox Series X, YUANHOT Charging Station Dock with 1400mAh Rechargeable Battery Pack and Dual Controller Charger Ports (NOT Compatible with Xbox One X/S) ",39.99,4.4 out of 5 stars,787,out of stock,https://www.amazon.com/Vertical-YUANHOT-Charging-Rechargeable-Controller/dp/B08VN2LB3B/ref=sr_1_15?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-15
"Xbox Wireless Controller – 20th Anniversary Special Edition for Xbox Series X|S, Xbox One, and Windows ",Not available,no ratings,no reviews,out of stock,https://www.amazon.com/Xbox-Wireless-Controller-Anniversary-Special-x/dp/B09GHQVX3N/ref=sr_1_16?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-16
Call of Duty: Vanguard ,69.99,,no reviews,out of stock,https://www.amazon.com/Call-Duty-Vanguard-Xbox-X/dp/B09D6QWQHD/ref=sr_1_17?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-17
"Rechargeable Battery Packs for Xbox One/Xbox Series X|S, 4 X 1200mAh Xbox One Controller Battery Packs, Rechargeable Batteries with Charging Station for Xbox One/One S/One X/One Elite ",28.99,4.5 out of 5 stars,"4,830",out of stock,https://www.amazon.com/ESYWEN-Rechargeable-Battery-1200mAh-Controller/dp/B08CVB3Y8B/ref=sr_1_18?dchild=1&keywords=Xbox+Series+X&qid=1634064922&sr=8-18
"Diocall Travel Case Compatible with Xbox Series X, Portable Carry Bag for Xbox Series X and Accessories ",34.99,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03025811L4NH9V48DXFK&url=%2FDiocall-Compatible-Xbox-Portable-Accessories-X%2Fdp%2FB08Y8YMTFY%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-19-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_btf
Xbox Series X With Xbox Night Ops Camo Controller 1TB SSD With Tyler 2 in1 Screen Cleaner New Xbox RRT-00001 WL3-00150 ,1097.0,1.0 out of 5 stars,1,Only 19 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04691653A98DYA13UP65&url=%2FXbox-Controller-Screen-Cleaner-RRT-00001-WL3-00150%2Fdp%2FB09F89DMXK%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-20-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_btf
