MicroCenter_Name,MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,649.99,303883,LHRRTX3060TIGAM,https://www.microcenter.com/product/639906/msi-nvidia-geforce-rtx-3060-ti-gaming-x-lhr-dual-fan-8gb-gddr6-pcie-40-graphics-card
ASUS GeForce RTX 3090 Strix Overclocked Triple-Fan 24GB GDDR6X PCIe 4.0 Graphics Card,"2,229.99",177071,STXRTX3090-O24G,https://www.microcenter.com/product/628685/asus-geforce-rtx-3090-strix-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3060 Ti V2 Mini LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,499.99,319236,D3060TIO8GMNV2,https://www.microcenter.com/product/641433/asus-nvidia-geforce-rtx-3060-ti-v2-mini-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3080 Ti Ventus 3X Overclocked Triple-Fan 12GB GDDR6X PCIe 4.0 Graphics Card,"1,729.99",283721,RTX3080TIVENTUS,https://www.microcenter.com/product/638328/msi-nvidia-geforce-rtx-3080-ti-ventus-3x-overclocked-triple-fan-12gb-gddr6x-pcie-40-graphics-card
Zotac NVIDIA GeForce RTX 3080 Ti AMP Holo Triple-Fan 12GB GDDR6X PCIe 4.0 Graphics Card,"1,949.99",286245,ZT-A30810F-10P,https://www.microcenter.com/product/638427/zotac-nvidia-geforce-rtx-3080-ti-amp-holo-triple-fan-12gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3060 Ti TUF Gaming V2 Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,609.99,295030,TUF3060TIO8GV2,https://www.microcenter.com/product/639243/asus-nvidia-geforce-rtx-3060-ti-tuf-gaming-v2-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 LHR Gaming Overclocked Triple-Fan 10GB GDDR6X PCIe 4.0 Graphics Card,"1,099.99",307330,STXRTX3080O10GV,https://www.microcenter.com/product/640224/asus-nvidia-geforce-rtx-3080-rog-strix-v2-lhr-gaming-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3060 Ti ROG Strix LHR Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,649.99,310193,STX3060TIO8GV2,https://www.microcenter.com/product/640595/asus-nvidia-geforce-rtx-3060-ti-rog-strix-lhr-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
MSI GeForce RTX 3090 Ventus 3X Overclocked Triple-Fan 24GB GDDR6X PCIe 4.0 Graphics Card,"2,239.99",172999,G3090V3X24C,https://www.microcenter.com/product/628326/msi-geforce-rtx-3090-ventus-3x-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3060 ROG Strix V2 Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,529.99,295022,STXRTX3060O12V2,https://www.microcenter.com/product/639240/asus-nvidia-geforce-rtx-3060-rog-strix-v2-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
