Product_Name,Product_Price,Product_link,Product_Stock
PlayStation 5 Console (Renewed) ,Not available,https://www.amazon.com/PlayStation-5-Console-Renewed/dp/B08ZFN8YHH/ref=sr_1_1?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-1,out of stock
PlayStation 5 Digital Edition ,Not available,https://www.amazon.com/PlayStation-5-Digital/dp/B08FC6MR62/ref=sr_1_2?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-2,out of stock
Sony PlayStation 5 Standard Edition - Blu-ray | Disk edition ,979.0,https://www.amazon.com/Sony-PlayStation-5-Standard-Blu-ray-Disk/dp/B094TY4NHB/ref=sr_1_3?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-3,out of stock
Powever 2021 Playstation Console PS5 Disk Version Including Controller and Powever Controller Case ,959.0,https://www.amazon.com/Powever-Playstation-Console-Including-Controller-5/dp/B091DQ319H/ref=sr_1_4?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-4,out of stock
"2021 Playstation and VR Bundle - PS Disk Console and Wireless Controller, PSVR Headset, Camera, Adapter, Move Motion Controllers, Iron Man and EVE Valkyrie, Seyted HDMI 2.1 Cable ",1759.98,https://www.amazon.com/2021-Playstation-Bundle-Controller-Controllers/dp/B0956N3XKC/ref=sr_1_5?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-5,Only 1 left in stock - order soon.
Horizon Forbidden West Special Edition - PlayStation 5 ,79.99,https://www.amazon.com/Horizon-Forbidden-West-Special-PlayStation-5/dp/B09FBGDHSC/ref=sr_1_6?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-6,out of stock
Horizon Forbidden West Launch Edition - PlayStation 5 ,69.99,https://www.amazon.com/Horizon-Forbidden-West-Launch-PlayStation-5/dp/B09FBL24D5/ref=sr_1_7?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-7,out of stock
Astria Ascending - PlayStation 5 ,39.99,https://www.amazon.com/Astria-Ascending-PlayStation-5/dp/B0983ZBYP5/ref=sr_1_8?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-8,out of stock
"Carrying Case for PS5 - Can hold Playstation 5 host ，Controller, Games, Accessories Shidewu ",33.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02256001BM0VM7ORUUC0&url=%2FCarrying-Case-PS5-Playstation-%25EF%25BC%258CController-Accessories%2Fdp%2FB08T1D98Q6%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-9-spons%26psc%3D1%26smid%3DA2KBYB2NUQZQ0E&qualifier=1633393842&id=6299186889526003&widgetName=sp_mtf,out of stock
Playstation VR Bundle Five Game Pack ,Not available,https://www.amazon.com/Playstation-Bundle-Five-Game-Pack-4/dp/B07YLD3SHM/ref=sr_1_10?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-10,out of stock
"PS5 Replacement Faceplate Cover, Housing Shell Case for Sony Playstation 5 Ultra HD/Digital Edition Console (Ultra HD, Red) ",29.99,https://www.amazon.com/Replacement-Faceplate-Housing-Playstation-Digital/dp/B08V9BN1GT/ref=sr_1_12?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-12,out of stock
Gran Turismo 7 Launch Edition - PlayStation 5 - PlayStation 5 ,69.99,https://www.amazon.com/Gran-Turismo-Launch-PlayStation-5/dp/B09GSP5GS7/ref=sr_1_13?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-13,out of stock
Outcast 2 - PlayStation 5 - PlayStation 5 ,69.99,https://www.amazon.com/Outcast-2-PlayStation-5/dp/B09H1XB2SG/ref=sr_1_15?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-15,out of stock
SteelSeries Arctis 7P Wireless - Lossless 2.4 GHz Wireless Gaming Headset - for PlayStation 5 and PlayStation 4 - White - PlayStation 5 ,145.0,https://www.amazon.com/SteelSeries-Arctis-7P-Wireless-Lossless-PlayStation/dp/B08H4YMC22/ref=sr_1_16?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-16,out of stock
Marvel's Spider-Man: Miles Morales Ultimate Launch Edition – PlayStation 5 ,69.99,https://www.amazon.com/Marvels-Spider-Man-Morales-Ultimate-Launch-PlayStation/dp/B08FC66ZV4/ref=sr_1_17?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-17,out of stock
Ghost of Tsushima Director's Cut - PlayStation 5 ,69.99,https://www.amazon.com/Ghost-Tsushima-Directors-Cut-PlayStation-5/dp/B098G34GBT/ref=sr_1_18?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-18,out of stock
