Product_Name,Product_Price,Product_link,Product_Stock
Xbox Series X ,Not available,https://www.amazon.com/Xbox-X/dp/B08H75RTZ8/ref=sr_1_1?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-1,out of stock
Xbox Series X ,849.99,https://www.amazon.com/Xbox-X/dp/B08TVX3DVN/ref=sr_1_2?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-2,out of stock
"Microsoft Xbox Series X 1TB SSD Video Game Console + 1 Xbox Wireless Gaming Controller, Black - 16GB GDDR6 RAM, 8X Cores Zen 2 CPU, 802.11AC WiFi, 8K HDR, 4K UHD Blu-Ray - 64GB USB Flash Drive ",1199.0,https://www.amazon.com/Microsoft-Console-Wireless-Gaming-Controller/dp/B09G6L6BQ5/ref=sr_1_3?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-3,Only 20 left in stock - order soon.
Microsoft RRT Xbox Series X 1TB SSD - Carbon Black Bundle with Extra Controller Robot White ,Not available,https://www.amazon.com/Microsoft-RRT-Xbox-1TB-SSD-X/dp/B08YP53Z4P/ref=sr_1_4?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-4,out of stock
Microsoft RRT-00001 Xbox Series X 1TB SSD - Carbon Black Bundle with Extra QAS-00001 Controller Robot White ,1149.0,https://www.amazon.com/Microsoft-RRT-00001-Xbox-1TB-SSD/dp/B08XBKBM8X/ref=sr_1_5?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-5,Only 1 left in stock - order soon.
Xbox Series X Bundle with Night Ops Camo Controller & Tyler 2 in 1 Screen Cleaner 1TB SSD RRT-00001 WL3-00150 New Xbox X Console ,Not available,https://www.amazon.com/Controller-Tyler-Cleaner-RRT-00001-WL3-00150/dp/B09GL4QRCC/ref=sr_1_6?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-6,out of stock
Xbox Series S ,Not available,https://www.amazon.com/Xbox-S/dp/B08G9J44ZN/ref=sr_1_8?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-8,out of stock
Xbox Series X Console Tower Bundle with MIGHTYSKINS Custom Skin Voucher for Console & Controller 1TB SSD RRT-00001 ,1029.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10075522Z41QV84ZEL0S&url=%2FConsole-MIGHTYSKINS-Voucher-Controller-RRT-00001%2Fdp%2FB09G95NNV1%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-9-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_mtf,Only 4 left in stock - order soon.
"Microsoft Xbox Series X 1TB - Backward Compatible with Thousands of Games, The Fast, Ultra High Speed HDMI Cable, Fine-Tuned Performance, True 4K Gaming - U Deal HDMI ",1199.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06307421RHJ6SRHC6RZ8&url=%2FXbox-1TB-Compatible-Fine-Tuned-Performance%2Fdp%2FB09GRGDSLJ%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-14-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_mtf,Only 6 left in stock - order soon.
"Xbox Series S 512GB SSD All-Digital Console (Disc-Free Gaming), 1440p Gaming Resolution, AMD FreeSync, 4K Streaming Media Playback, WiFi, Bundle Xbox Wireless Headset w/4K HDMI ",649.0,https://www.amazon.com/All-Digital-Disc-Free-Resolution-FreeSync-Streaming/dp/B09GVQ4VSV/ref=sr_1_18?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-18,out of stock
