Name,price,rating,number of reviews,stock,url
Xbox Series X ,Not available,4.9 out of 5 stars,"10,111",out of stock,https://www.amazon.com/Xbox-X/dp/B08H75RTZ8/ref=sr_1_1?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-1
Xbox Series X ,849.99,4.1 out of 5 stars,49,out of stock,https://www.amazon.com/Xbox-X/dp/B08TVX3DVN/ref=sr_1_2?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-2
"Microsoft Xbox Series X 1TB SSD Video Game Console + 1 Xbox Wireless Gaming Controller, Black - 16GB GDDR6 RAM, 8X Cores Zen 2 CPU, 802.11AC WiFi, 8K HDR, 4K UHD Blu-Ray - 64GB USB Flash Drive ",1199.0,4.0 out of 5 stars,27,Only 20 left in stock - order soon.,https://www.amazon.com/Microsoft-Console-Wireless-Gaming-Controller/dp/B09G6L6BQ5/ref=sr_1_3?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-3
Microsoft RRT Xbox Series X 1TB SSD - Carbon Black Bundle with Extra Controller Robot White ,Not available,4.0 out of 5 stars,43,out of stock,https://www.amazon.com/Microsoft-RRT-Xbox-1TB-SSD-X/dp/B08YP53Z4P/ref=sr_1_4?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-4
Microsoft RRT-00001 Xbox Series X 1TB SSD - Carbon Black Bundle with Extra QAS-00001 Controller Robot White ,1149.0,4.4 out of 5 stars,50,Only 1 left in stock - order soon.,https://www.amazon.com/Microsoft-RRT-00001-Xbox-1TB-SSD/dp/B08XBKBM8X/ref=sr_1_5?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-5
Xbox Series X Bundle with Night Ops Camo Controller & Tyler 2 in 1 Screen Cleaner 1TB SSD RRT-00001 WL3-00150 New Xbox X Console ,Not available,no ratings,no reviews,out of stock,https://www.amazon.com/Controller-Tyler-Cleaner-RRT-00001-WL3-00150/dp/B09GL4QRCC/ref=sr_1_6?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-6
Halo Infinite Steelbook Edition - Xbox Series X & Xbox One ,59.99,,no reviews,out of stock,https://www.amazon.com/Halo-Infinite-Steelbook-Xbox-One-X/dp/B09FC3BN36/ref=sr_1_7?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-7
Xbox Series S ,Not available,4.7 out of 5 stars,"6,994",out of stock,https://www.amazon.com/Xbox-S/dp/B08G9J44ZN/ref=sr_1_8?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-8
Xbox Series X Console Tower Bundle with MIGHTYSKINS Custom Skin Voucher for Console & Controller 1TB SSD RRT-00001 ,1029.0,no ratings,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10075522Z41QV84ZEL0S&url=%2FConsole-MIGHTYSKINS-Voucher-Controller-RRT-00001%2Fdp%2FB09G95NNV1%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-9-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_mtf
S.T.A.L.K.E.R. 2: Heart of Chernobyl - Xbox Series X ,59.99,,no reviews,out of stock,https://www.amazon.com/S-T-L-K-R-Heart-Chernobyl-Xbox/dp/B09F1D1WXJ/ref=sr_1_10?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-10
NBA 2K22 - Xbox Series X ,69.0,4.4 out of 5 stars,13,out of stock,https://www.amazon.com/NBA-2K22-Xbox-X/dp/B098Y7HQ9T/ref=sr_1_11?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-11
Madden NFL 22 - Xbox Series X ,43.98,3.5 out of 5 stars,46,Only 2 left in stock - order soon.,https://www.amazon.com/Madden-NFL-22-Xbox-X/dp/B096NB311H/ref=sr_1_12?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-12
