Product_Name,Product_Price,Product_link,Product_Stock
EVGA GeForce RTX 3070 FTW3 Ultra Graphics Card,1649.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A006569431D5I3MNEET4U&url=%2FGeForce-Graphics-Technology-Backplate-DisplayPort%2Fdp%2FB08ZQ3ZH5W%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-22-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_btf,Only 2 left in stock - order soon.
EVGA GeForce RTX 3070 Ti FTW3 ULTRA 8GB GDDR6X Graphic Card,799.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3070-ti-ftw3-ultra-8gb-gddr6x-graphic-card/11153798.html?condition=New,Out of Stock
EVGA GeForce RTX 3080 Ti 12GB GDDR6X Graphics Card,1399.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3080-ti-12gb-gddr6x-graphics-card/11153799.html?condition=New,Out of Stock
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X PCI Express 4.0 Graphics Card,849.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3080-xc3-ultra-10gb-gddr6x-pci-express-4.0-graphics-card/11159665.html?condition=New,Out of Stock
EVGA GeForce RTX 3070 XC3 ULTRA 8GB GDDR6 PCI Express 4.0 Graphics Card,639.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3070-xc3-ultra-8gb-gddr6-pci-express-4.0-graphics-card/11159666.html?condition=New,Out of Stock
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card,899.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09382251XJX5VXDW3X7Y&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GHZGD5X%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_atf,Only 13 left in stock - order soon.
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card,899.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0938069PIBGUJ2TGPAS&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GJ5GXV7%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-2-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_atf,Only 13 left in stock - order soon.
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCI Express 4 Twin-Frozr Torx Fan Ampere RGB OC Graphics Card,Not available,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPJ5P4R/ref=sr_1_3?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-3,out of stock
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCI Express 4 Torx Twin Fan Ampere OC Graphics Card,Not available,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_5?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-5,out of stock
MSI NVIDIA GeForce RTX 3060 Gaming X LED 12GB GDDR6 VRAM Graphics Card,869.0,https://www.amazon.com/MSI-Graphics-DisplayPort-Mazepoly-Accessories/dp/B09GZHNKBP/ref=sr_1_7?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-7,Only 7 left in stock - order soon.
